Timestamp,PM_1.0,PM_2.5,PM_10,CO2,TVOC,CH2O
2026-03-15 23:22:24,18,23,25,500,2,15104
2026-03-15 23:22:27,17,22,24,3884,2,15360
2026-03-15 23:22:29,17,22,24,3870,2,15360
